county_id,incident_count,rank,bucket
42089,84,1,R
42103,30,2,R
42011,23,3,R
42133,23,3,R
42039,22,4,R
42131,21,5,R
42077,14,6,Y
42043,14,6,Y
42095,14,6,Y
42111,12,7,Y
42029,12,7,Y
42015,11,8,Y
42025,10,9,Y
42107,9,10,Y
42055,8,11,Y
42075,8,11,Y
42009,7,12,Y
42115,7,12,Y
42067,7,12,Y
42123,6,13,Y
42063,6,13,Y
42065,6,13,Y
42073,6,13,Y
42041,5,14,Y
42079,5,14,Y
42003,4,15,Y
42017,4,15,Y
42051,4,15,Y
42105,4,15,Y
42045,3,16,G
42049,3,16,G
42113,2,17,G
42081,2,17,G
42013,2,17,G
42047,2,17,G
42061,2,17,G
42109,2,17,G
42083,1,18,G
42085,1,18,G
42129,1,18,G
42087,1,18,G
42019,1,18,G
42021,1,18,G
42059,1,18,G
42091,1,18,G
42023,1,18,G
42093,1,18,G
42027,1,18,G
42097,1,18,G
42101,1,18,G
42031,1,18,G
42069,1,18,G
42033,1,18,G
42071,1,18,G
42035,1,18,G
